
2015-01-12 00:18:34: Process duration EVENT FRAME 125
2015-01-12 00:18:34: Process duration EVENT FRAME 139
2015-01-12 00:18:34: Process duration EVENT FRAME 193
2015-01-12 00:18:34: Process duration EVENT FRAME 132
2015-01-12 00:18:34: Process duration EVENT FRAME 137
2015-01-12 00:18:34: Process duration EVENT FRAME 159
2015-01-12 00:18:34: Process duration EVENT FRAME 141
2015-01-12 00:18:35: Process duration EVENT FRAME 134
2015-01-12 00:18:35: Process duration EVENT FRAME 135
2015-01-12 00:18:35: Process duration EVENT FRAME 222
2015-01-12 00:18:35: Process duration EVENT FRAME 132
2015-01-12 00:18:35: Process duration EVENT FRAME 141
2015-01-12 00:18:35: Process duration EVENT FRAME 140
2015-01-12 00:18:36: Process duration EVENT FRAME 177
2015-01-12 00:18:36: Process duration EVENT FRAME 1
2015-01-12 00:18:36: Process duration EVENT FRAME 137
2015-01-12 00:18:36: Process duration EVENT FRAME 3
2015-01-12 00:18:36: Process duration EVENT FRAME 136
2015-01-12 00:18:36: Process duration EVENT FRAME 1
2015-01-12 00:18:36: Process duration EVENT FRAME 151
2015-01-12 00:18:36: Process duration EVENT FRAME 136
2015-01-12 00:18:36: Process duration EVENT FRAME 136
2015-01-12 00:18:36: Process duration EVENT FRAME 142
2015-01-12 00:18:37: Process duration EVENT FRAME 141
2015-01-12 00:18:37: Process duration EVENT FRAME 362
2015-01-12 00:18:37: Process duration EVENT FRAME 142
2015-01-12 00:18:37: Process duration EVENT FRAME 1
2015-01-12 00:18:37: Process duration EVENT FRAME 127
2015-01-12 00:18:37: Process duration EVENT FRAME 138
2015-01-12 00:18:37: Process duration EVENT FRAME 134
2015-01-12 00:18:38: Process duration EVENT FRAME 167
2015-01-12 00:18:38: Process duration EVENT FRAME 132
2015-01-12 00:18:38: Process duration EVENT FRAME 161
2015-01-12 00:18:38: Process duration EVENT FRAME 138
2015-01-12 00:18:38: Process duration EVENT FRAME 166
2015-01-12 00:18:38: Process duration EVENT FRAME 152
2015-01-12 00:18:39: Process duration EVENT FRAME 150
2015-01-12 00:18:39: 
2015-01-12 00:33:23: Logger initialized...
2015-01-12 00:33:23: Properties loaded...
2015-01-12 00:33:23: Server 192.168.0.108 listening on port: 3000
2015-01-12 00:33:23: Database open
2015-01-12 00:33:23: Webserver 192.168.0.108 listening on port: 3001
2015-01-12 00:33:24: Web App Client connected: websocket-1
2015-01-12 00:33:38: Web App Login success: wwarme
2015-01-12 00:33:40: Stream started
2015-01-12 00:33:47: Session created...(0x00000001: nio socket, server, /192.168.0.32:42692 => /192.168.0.108:3000)
2015-01-12 00:33:47: Process duration OBU ID 0
2015-01-12 00:33:47: Process duration STREAM FRAME 1
2015-01-12 00:33:47: Process duration STREAM FRAME 1
2015-01-12 00:33:47: Process duration STREAM FRAME 4
2015-01-12 00:33:47: Process duration TOTAL 9
